"time","toy","dow","holy","tod","temp","dateTime","dem","dem48","temp95"
1,0.986301369863014,"Wed",FALSE,0,4,2009-12-29 23:00:00,1674.398,NA,4
2,0.986301369863014,"Wed",FALSE,1,4,2009-12-29 23:30:00,1404.605,NA,4
3,0.986301369863014,"Wed",FALSE,2,4,2009-12-30,1180.766,NA,4
4,0.986301369863014,"Wed",FALSE,3,4,2009-12-30 00:30:00,1022.626,NA,4
5,0.986301369863014,"Wed",FALSE,4,4,2009-12-30 01:00:00,877.018,NA,4
6,0.986301369863014,"Wed",FALSE,5,4,2009-12-30 01:30:00,775.936,NA,4
7,0.986301369863014,"Wed",FALSE,6,4,2009-12-30 02:00:00,678.949,NA,4
8,0.986301369863014,"Wed",FALSE,7,4,2009-12-30 02:30:00,628.683,NA,4
9,0.986301369863014,"Wed",FALSE,8,4,2009-12-30 03:00:00,608.13,NA,4
10,0.986301369863014,"Wed",FALSE,9,4,2009-12-30 03:30:00,590.928,NA,4
11,0.986301369863014,"Wed",FALSE,10,4,2009-12-30 04:00:00,568.755,NA,4
12,0.986301369863014,"Wed",FALSE,11,3,2009-12-30 04:30:00,588.326,NA,3.95
13,0.986301369863014,"Wed",FALSE,12,4,2009-12-30 05:00:00,603.918,NA,3.9525
14,0.986301369863014,"Wed",FALSE,13,4,2009-12-30 05:30:00,638.54,NA,3.954875
15,0.986301369863014,"Wed",FALSE,14,3,2009-12-30 06:00:00,698.007,NA,3.90713125
16,0.986301369863014,"Wed",FALSE,15,4,2009-12-30 06:30:00,779.421,NA,3.9117746875
17,0.986301369863014,"Wed",FALSE,16,4,2009-12-30 07:00:00,920.265,NA,3.916185953125
18,0.986301369863014,"Wed",FALSE,17,4,2009-12-30 07:30:00,1052.636,NA,3.92037665546875
19,0.986301369863014,"Wed",FALSE,18,4,2009-12-30 08:00:00,1197.845,NA,3.92435782269531
20,0.986301369863014,"Wed",FALSE,19,4,2009-12-30 08:30:00,1400.257,NA,3.92813993156055
21,0.986301369863014,"Wed",FALSE,20,4,2009-12-30 09:00:00,1547.128,NA,3.93173293498252
22,0.986301369863014,"Wed",FALSE,21,4,2009-12-30 09:30:00,1743.448,NA,3.93514628823339
23,0.986301369863014,"Wed",FALSE,22,4,2009-12-30 10:00:00,1980.052,NA,3.93838897382172
24,0.986301369863014,"Wed",FALSE,23,4,2009-12-30 10:30:00,2045.359,NA,3.94146952513064
25,0.986301369863014,"Wed",FALSE,24,4,2009-12-30 11:00:00,2102.344,NA,3.94439604887411
26,0.986301369863014,"Wed",FALSE,25,4,2009-12-30 11:30:00,2199.579,NA,3.9471762464304
27,0.986301369863014,"Wed",FALSE,26,4,2009-12-30 12:00:00,2195.749,NA,3.94981743410888
28,0.986301369863014,"Wed",FALSE,27,4,2009-12-30 12:30:00,2250.153,NA,3.95232656240344
29,0.986301369863014,"Wed",FALSE,28,4,2009-12-30 13:00:00,2240.812,NA,3.95471023428326
30,0.986301369863014,"Wed",FALSE,29,4,2009-12-30 13:30:00,2137.764,NA,3.9569747225691
31,0.986301369863014,"Wed",FALSE,30,3,2009-12-30 14:00:00,2189.979,NA,3.90912598644065
32,0.986301369863014,"Wed",FALSE,31,3,2009-12-30 14:30:00,2267.331,NA,3.86366968711861
33,0.986301369863014,"Wed",FALSE,32,3,2009-12-30 15:00:00,2352.031,NA,3.82048620276268
34,0.986301369863014,"Wed",FALSE,33,3,2009-12-30 15:30:00,2490.92,NA,3.77946189262455
35,0.986301369863014,"Wed",FALSE,34,3,2009-12-30 16:00:00,2766.708,NA,3.74048879799332
36,0.986301369863014,"Wed",FALSE,35,2,2009-12-30 16:30:00,3079.504,NA,3.65346435809365
37,0.986301369863014,"Wed",FALSE,36,2,2009-12-30 17:00:00,3269.335,NA,3.57079114018897
38,0.986301369863014,"Wed",FALSE,37,2,2009-12-30 17:30:00,3237.125,NA,3.49225158317952
39,0.986301369863014,"Wed",FALSE,38,3,2009-12-30 18:00:00,3135.498,NA,3.46763900402055
40,0.986301369863014,"Wed",FALSE,39,3,2009-12-30 18:30:00,3083.532,NA,3.44425705381952
41,0.986301369863014,"Wed",FALSE,40,3,2009-12-30 19:00:00,2998.749,NA,3.42204420112854
42,0.986301369863014,"Wed",FALSE,41,3,2009-12-30 19:30:00,2859.074,NA,3.40094199107212
43,0.986301369863014,"Wed",FALSE,42,3,2009-12-30 20:00:00,2724.827,NA,3.38089489151851
44,0.986301369863014,"Wed",FALSE,43,3,2009-12-30 20:30:00,2684.966,NA,3.36185014694258
45,0.986301369863014,"Wed",FALSE,44,3,2009-12-30 21:00:00,2558.073,NA,3.34375763959545
46,0.986301369863014,"Wed",FALSE,45,3,2009-12-30 21:30:00,2386.237,NA,3.32656975761568
47,0.986301369863014,"Wed",FALSE,46,3,2009-12-30 22:00:00,2233.846,NA,3.3102412697349
48,0.986301369863014,"Wed",FALSE,47,3,2009-12-30 22:30:00,1988.024,NA,3.29472920624815
49,0,"Sun",FALSE,0,2,2010-01-02 23:00:00,1855.95,1674.398,3.22999274593574
50,0,"Sun",FALSE,1,2,2010-01-02 23:30:00,1583.988,1404.605,3.16849310863896
51,0,"Sun",FALSE,2,3,2010-01-03,1303.634,1180.766,3.16006845320701
52,0,"Sun",FALSE,3,2,2010-01-03 00:30:00,1091.215,1022.626,3.10206503054666
53,0,"Sun",FALSE,4,2,2010-01-03 01:00:00,951.523,877.018,3.04696177901933
54,0,"Sun",FALSE,5,2,2010-01-03 01:30:00,848.783,775.936,2.99461369006836
55,0,"Sun",FALSE,6,2,2010-01-03 02:00:00,751.316,678.949,2.94488300556494
56,0,"Sun",FALSE,7,2,2010-01-03 02:30:00,699.96,628.683,2.89763885528669
57,0,"Sun",FALSE,8,2,2010-01-03 03:00:00,655.8,608.13,2.85275691252236
58,0,"Sun",FALSE,9,2,2010-01-03 03:30:00,634.491,590.928,2.81011906689624
